Date,WordCount,PageCount,Desc
Thu Jul 15 10:08:45 BST 2021,30704,150,removed redundant page
Thu Jul 15 10:15:38 BST 2021,30651,148,Removed redundant page
Thu Jul 15 11:23:15 BST 2021,30644,148,Added spellcheck
Thu Jul 15 12:06:24 BST 2021,30710,148,Sum and product scaling templates
Fri Jul 16 10:02:13 BST 2021,30754,148,Scaling description
Fri Jul 16 10:30:50 BST 2021,30798,148,Scaling basis description
Fri Jul 16 11:15:39 BST 2021,30970,148,Scaling basis description
Fri Jul 16 11:47:08 BST 2021,31066,148,Resonant basis description
Fri Jul 16 12:04:28 BST 2021,31281,148,Resonant basis description
Fri Jul 16 13:40:46 BST 2021,31385,148,Fig 3.3 caption
Fri Jul 16 13:51:09 BST 2021,31385,148,misc
Fri Jul 16 14:10:31 BST 2021,31603,148,Fig 3.6 caption
Fri Jul 16 16:11:34 BST 2021,31713,150,Basis plots
Fri Jul 16 16:23:03 BST 2021,31705,150,Basis plots
Fri Jul 16 16:36:15 BST 2021,31884,150,Basis sets plot
Mon Jul 19 07:34:53 BST 2021,32025,148,Added frequency info and cube convergence plot
Mon Jul 19 08:38:16 BST 2021,32277,150,Large non-physical contributions
Mon Jul 19 09:00:36 BST 2021,32396,148,chapter 3 conclusion
Mon Jul 19 09:02:19 BST 2021,32417,148,Added words
Mon Jul 19 10:23:03 BST 2021,32864,150,Oscillatory weights
Mon Jul 19 10:28:50 BST 2021,32933,148,moved high pmax
Mon Jul 19 10:41:40 BST 2021,32986,146,Chapter 4 conclusion
Mon Jul 19 10:45:47 BST 2021,33003,146,added words
Mon Jul 19 11:53:18 BST 2021,33003,146,Added extrapolation of word count
Tue Jul 20 07:59:50 BST 2021,33137,146,kratio notes
Tue Jul 20 08:20:21 BST 2021,33409,150,Weighting and Template testing notes
Tue Jul 20 08:41:37 BST 2021,33542,148,Building blocks and augmentation notes
Tue Jul 20 09:39:22 BST 2021,33478,146,Chapter 4 intro
Tue Jul 20 10:08:40 BST 2021,33478,146,misc
Tue Jul 20 10:18:49 BST 2021,33482,146,Removed newpage commands
Tue Jul 20 11:52:34 BST 2021,33536,146,statistical observables
Tue Jul 20 12:29:06 BST 2021,33682,146,Statistics
Tue Jul 20 13:16:39 BST 2021,33703,146,Stats
Tue Jul 20 15:50:47 BST 2021,33888,148,Stats
Tue Jul 20 16:32:15 BST 2021,34022,148,Stats
Tue Jul 20 17:13:31 BST 2021,34131,146,stats
Tue Jul 20 17:36:10 BST 2021,34249,146,Misc
Wed Jul 21 09:55:47 BST 2021,34648,146,Intro bits
Wed Jul 21 10:18:22 BST 2021,34905,146,Intro bits
Wed Jul 21 10:37:00 BST 2021,34905,146,Fixed error
Wed Jul 21 11:19:12 BST 2021,34915,146,Moved outline
Wed Jul 21 11:28:27 BST 2021,34931,146,Outline notes
Wed Jul 21 11:37:38 BST 2021,34931,144,Moved isotropy etc
Wed Jul 21 12:01:42 BST 2021,34986,144,Mukhanov-Sasaki equation
Wed Jul 21 13:47:53 BST 2021,35025,144,Intro bits
Wed Jul 21 14:01:44 BST 2021,35062,144,quantum stats
Wed Jul 21 14:14:39 BST 2021,35063,144,misc
Wed Jul 21 15:16:54 BST 2021,35063,144,misc
Wed Jul 21 15:32:36 BST 2021,35150,144,p1ns30 plot for dbi
Wed Jul 21 16:22:39 BST 2021,35166,144,added note links
Thu Jul 22 13:45:02 BST 2021,35166,144,misc
Thu Jul 22 18:28:18 BST 2021,35166,144,misc
Fri Jul 23 09:52:53 BST 2021,35240,144,non-physical configurations factor
Fri Jul 23 10:44:38 BST 2021,35278,144,Building blocks note
Fri Jul 23 16:36:23 BST 2021,35279,144,misc
Fri Jul 23 17:13:36 BST 2021,35659,144,Estimator basics
Fri Jul 23 17:26:36 BST 2021,35773,144,Estimators
Fri Jul 23 17:43:30 BST 2021,35928,144,Estimators
Fri Jul 23 17:50:33 BST 2021,36020,146,Estimators
Fri Jul 23 17:54:53 BST 2021,36020,146,Added ref note
Fri Jul 23 18:14:02 BST 2021,36020,146,Added week lines to plotter
Sat Jul 24 01:16:15 BST 2021,36112,146,Friedmann
Sat Jul 24 02:07:26 BST 2021,36331,148,Geodesic equation (needs rephrasing)
Sun Jul 25 11:27:41 BST 2021,36724,150,Add lcdm plots
Sun Jul 25 11:37:01 BST 2021,36869,150,lcdm plot captions
Sun Jul 25 11:50:54 BST 2021,36869,150,Fixed plotter 5 days
Sun Jul 25 13:49:54 BST 2021,37040,150,tau lambda solution
Sun Jul 25 14:06:37 BST 2021,37088,150,lcdm time dep table
Sun Jul 25 14:14:29 BST 2021,37171,150,Inflation rho P
Sun Jul 25 14:21:10 BST 2021,37203,150,inflation friedman
Sun Jul 25 22:59:27 BST 2021,37203,150,misc
Mon Jul 26 08:21:40 BST 2021,37203,150,misc
Mon Jul 26 16:30:23 BST 2021,37312,152,equations P(Xphi)
Mon Jul 26 16:40:25 BST 2021,37404,152,consistent start
Mon Jul 26 16:44:09 BST 2021,37402,152,misc
Tue Jul 27 10:43:03 BST 2021,37733,152,Horizon problem
Tue Jul 27 11:41:13 BST 2021,38061,152,Adiabaticity
Tue Jul 27 15:35:49 BST 2021,37924,150,Shrinking Hubble
Tue Jul 27 15:53:50 BST 2021,38015,150,epsilon for inflation
Tue Jul 27 15:57:36 BST 2021,37858,148,Removed pages on planck and simons
Tue Jul 27 17:00:46 BST 2021,38165,148,qualitative history
Tue Jul 27 17:14:27 BST 2021,38196,148,Blackbody
Tue Jul 27 18:22:05 BST 2021,38479,148,sound speed
Tue Jul 27 18:34:59 BST 2021,38487,148,Sound speed
Tue Jul 27 18:51:01 BST 2021,38528,146,Moved text and added estimated done date
Tue Jul 27 18:55:25 BST 2021,38512,146,Added command
Wed Jul 28 10:30:32 BST 2021,38606,146,Friedmann rephrase
Wed Jul 28 10:38:43 BST 2021,38847,146,Moved P defn
Wed Jul 28 10:55:47 BST 2021,38921,148,Slow-roll
Wed Jul 28 11:59:45 BST 2021,38629,146,misc
Thu Jul 29 09:26:30 BST 2021,38678,146,perturbations
Thu Jul 29 09:53:15 BST 2021,38844,146,perturbations
Thu Jul 29 10:46:59 BST 2021,38958,146,perturbations
Thu Jul 29 10:53:01 BST 2021,38999,146,perturbations
Thu Jul 29 10:59:42 BST 2021,38989,146,quantum
Thu Jul 29 11:07:45 BST 2021,39017,146,added section title
Thu Jul 29 11:38:29 BST 2021,39203,146,quantum
Thu Jul 29 11:57:23 BST 2021,39384,146,hankel
Thu Jul 29 12:10:57 BST 2021,39384,146,hankel
Thu Jul 29 12:15:58 BST 2021,39384,146,50000 days left
Thu Jul 29 16:05:12 BST 2021,39532,142,misc
Fri Jul 30 09:56:01 BST 2021,39535,142,Moved equation
Fri Jul 30 10:25:54 BST 2021,39790,144,transfer functions
Fri Jul 30 10:36:07 BST 2021,39827,144,transfer functions
Fri Jul 30 11:03:17 BST 2021,39903,132,Removed newpages
Fri Jul 30 12:08:24 BST 2021,39931,132,moved dbi action
Fri Jul 30 12:34:46 BST 2021,40009,132,dbi quantities
Fri Jul 30 13:07:54 BST 2021,40138,132,initial conditions reference
Fri Jul 30 16:35:42 BST 2021,40138,132,misc
Fri Jul 30 17:03:33 BST 2021,40319,132,Constant shape
Fri Jul 30 17:19:23 BST 2021,40386,132,bll constant
Fri Jul 30 17:37:12 BST 2021,40386,132,misc
Fri Jul 30 17:43:31 BST 2021,33915,126,Deleted double reference
Fri Jul 30 17:45:53 BST 2021,40377,132,Deleted double reference
Sat Jul 31 18:25:14 BST 2021,40377,132,fiona wholesomeness
Sat Jul 31 18:27:38 BST 2021,40377,132,Fiona wholesomeness
Mon Aug  2 08:49:24 BST 2021,40506,136,Added references
Mon Aug  2 09:01:47 BST 2021,41695,140,Added references
Mon Aug  2 09:14:55 BST 2021,41695,140,Python code to check for doubled eprints
Mon Aug  2 09:50:42 BST 2021,41695,140,Added title
Mon Aug  2 10:47:54 BST 2021,41695,140,misc
Mon Aug  2 10:58:35 BST 2021,41716,138,Citations
Mon Aug  2 11:23:16 BST 2021,41753,138,Citaitons
Mon Aug  2 11:24:25 BST 2021,41705,138,Citation range
Mon Aug  2 11:33:45 BST 2021,41730,138,Citations
Mon Aug  2 11:37:15 BST 2021,41730,138,Added all references in bib
Mon Aug  2 17:27:33 BST 2021,41730,138,misc
Tue Aug  3 11:49:42 BST 2021,41999,140,inin exmaple
Tue Aug  3 12:21:58 BST 2021,42236,140,inin example
Tue Aug  3 13:38:48 BST 2021,42219,140,inin example
Tue Aug  3 14:04:34 BST 2021,42334,140,inin example
Tue Aug  3 14:36:00 BST 2021,42481,140,inin exmaple
Tue Aug  3 15:47:30 BST 2021,42587,140,inin example
Tue Aug  3 17:35:15 BST 2021,42609,140,inin example corrected prefactor
Wed Aug  4 10:51:01 BST 2021,39,,Small changes
Wed Aug  4 10:52:08 BST 2021,39,,Small changes
Wed Aug  4 10:55:14 BST 2021,42684,138,small changes
Wed Aug  4 11:41:21 BST 2021,42704,140,Journals and arxiv codes for all references
Wed Aug  4 11:49:56 BST 2021,42704,140,exclude wc glitch
Wed Aug  4 12:14:17 BST 2021,42510,140,misc
Wed Aug  4 12:19:13 BST 2021,42510,140,thesis pdf became untracked?
Wed Aug  4 14:29:44 BST 2021,42603,142,elementary symmetric polynomials
Wed Aug  4 14:53:15 BST 2021,42721,142,misc
Wed Aug  4 14:56:07 BST 2021,42721,140,Moved templates
Thu Aug  5 16:56:01 BST 2021,42917,142,Statement of contributions
Thu Aug  5 17:12:30 BST 2021,42895,142,Moved sections
Thu Aug  5 17:41:34 BST 2021,42475,138,Section title
Thu Aug  5 18:10:28 BST 2021,42470,138,section titles
Thu Aug  5 20:53:34 BST 2021,42470,138,misc
Thu Aug  5 21:18:13 BST 2021,42542,138,Reinstated section titles
Fri Aug  6 11:26:27 BST 2021,42595,138,misc
Fri Aug  6 14:18:43 BST 2021,42979,138,Intro prettiness
Fri Aug  6 15:25:35 BST 2021,43310,138,intro stuff
Fri Aug  6 16:06:53 BST 2021,43454,138,intro stuff
Fri Aug  6 16:10:40 BST 2021,43457,138,intro stuff
